code,number,object,warning,question,answer
1678383890_323034,2,lightswitch,,5,5
1678383890_323034,2,lightswitch,,6,1
1678383890_323034,2,lightswitch,,7,5
1678383890_323034,2,lightswitch,,8,1
1678383890_323034,2,lightswitch,,9,1
1678383890_323034,2,lightswitch,,10,5
1678383890_323034,2,lightswitch,,11,5
1678383890_323034,3,plantselector,blur,1,5
1678383890_323034,3,plantselector,blur,2,5
1678383890_323034,3,plantselector,blur,3,5
1678383890_323034,3,plantselector,blur,4,1
1678383890_323034,3,plantselector,blur,5,5
1678383890_323034,3,plantselector,blur,6,1
1678383890_323034,3,plantselector,blur,7,5
1678383890_323034,3,plantselector,blur,8,1
1678383890_323034,3,plantselector,blur,9,1
1678383890_323034,3,plantselector,blur,10,5
1678383890_323034,3,plantselector,blur,11,5
1678383890_323034,4,frame,,1,5
1678383890_323034,4,frame,,2,5
1678383890_323034,4,frame,,3,5
1678383890_323034,4,frame,,4,1
1678383890_323034,4,frame,,5,5
1678383890_323034,4,frame,,6,1
1678383890_323034,4,frame,,7,4
1678383890_323034,4,frame,,8,1
1678383890_323034,4,frame,,9,1
1678383890_323034,4,frame,,10,5
1678383890_323034,4,frame,,11,5
1677089775_277128,1,interactablepen,popup,1,2
1677089775_277128,1,interactablepen,popup,2,4
1677089775_277128,1,interactablepen,popup,3,4
1677089775_277128,1,interactablepen,popup,4,2
1677089775_277128,1,interactablepen,popup,5,4
1677089775_277128,1,interactablepen,popup,6,2
1677089775_277128,1,interactablepen,popup,7,4
1677089775_277128,1,interactablepen,popup,8,2
1677089775_277128,1,interactablepen,popup,9,2
1677089775_277128,1,interactablepen,popup,10,4
1677089775_277128,1,interactablepen,popup,11,4
1677089775_277128,2,lightswitch,,1,2
1677089775_277128,2,lightswitch,,2,4
1677089775_277128,2,lightswitch,,3,4
1677089775_277128,2,lightswitch,,4,2
1677089775_277128,2,lightswitch,,5,4
1677089775_277128,2,lightswitch,,6,2
1677089775_277128,2,lightswitch,,7,4
1677089775_277128,2,lightswitch,,8,2
1677089775_277128,2,lightswitch,,9,2
1677089775_277128,2,lightswitch,,10,4
1677089775_277128,2,lightswitch,,11,4
1677089775_277128,3,plantselector,popup,1,3
1677089775_277128,3,plantselector,popup,2,4
1677089775_277128,3,plantselector,popup,3,2
1677089775_277128,3,plantselector,popup,4,4
1677089775_277128,3,plantselector,popup,5,2
1677089775_277128,3,plantselector,popup,6,4
1677089775_277128,3,plantselector,popup,7,2
1677089775_277128,3,plantselector,popup,8,3
1677089775_277128,3,plantselector,popup,9,2
1677089775_277128,3,plantselector,popup,10,3
1677089775_277128,3,plantselector,popup,11,3
1677089775_277128,4,frame,,1,2
1677089775_277128,4,frame,,2,3
1677089775_277128,4,frame,,3,2
1677089775_277128,4,frame,,4,2
1677089775_277128,4,frame,,5,4
1677089775_277128,4,frame,,6,2
1677089775_277128,4,frame,,7,4
1677089775_277128,4,frame,,8,2
1677089775_277128,4,frame,,9,2
1677089775_277128,4,frame,,10,2
1677089775_277128,4,frame,,11,4
1675259131_572466,1,interactablepen,Blur,1,1
1675259131_572466,1,interactablepen,Blur,2,5
1675259131_572466,1,interactablepen,Blur,3,5
1675259131_572466,1,interactablepen,Blur,4,1
1675259131_572466,1,interactablepen,Blur,5,5
1675259131_572466,1,interactablepen,Blur,6,1
